古代写实战争风格分镜脚本及角色设定
一、角色设定+AI生图提示词（古代写实风格）
主角（主将/主公）
外形：中年，面容冷峻，身形挺拔，眼神锐利沉稳，前期玄色轻甲配长剑，后期深色王袍
AI提示词：古代写实风格，8K超高清电影级画质，中年男性，面容冷峻眼神锐利，身形挺拔，前期玄色轻甲手持长剑，后期深色王袍，站姿沉稳，战场或城头写实背景
陉谷敌将
外形：壮年，身材魁梧，面容刚毅，卸甲后着单薄皮甲，满身血污，悍勇狠厉
AI提示词：古代写实风格，8K超高清电影级画质，壮年男性，身材魁梧面容刚毅，卸甲状态穿单薄皮甲，身上带血污，手持长槊，陉谷战场写实背景
西楚霸王
外形：壮年，高大威猛，长发散乱，甲胄斑驳染血，眼神桀骜，气势磅礴
AI提示词：古代写实风格，8K超高清电影级画质，壮年男性，高大威猛，长发散乱，斑驳染血重甲，手持长槊，谷底战场写实背景，气势桀骜
副将/近侍/亲兵
外形：中青年，身形干练，忠诚恭敬，着制式轻甲或侍卫服
AI提示词：古代写实风格，8K超高清电影级画质，中青年男性，身形干练，着制式轻甲或侍卫服，神情恭敬或急切，战场或帐内写实背景
斥候
外形：青年，身形矫健，衣衫破损，浑身浴血，神情急迫
AI提示词：古代写实风格，8K超高清电影级画质，青年男性，身形矫健，衣衫破损浑身浴血，跪地急报，陉谷写实背景
普通士卒
外形：中青年，着皮甲/重甲，满身尘土血污，或疲惫或悍勇
AI提示词：古代写实风格，8K超高清电影级画质，古代战场士卒群像，着皮甲或重甲，满身尘土血污，或坐或立，陉谷或谷底战场写实背景
二、分镜脚本（古代写实战争风格，连续镜头）
|（注：文档部分内容可能由 AI 生成)
镜号 | 时长 | 运镜方式 | 景别 | AI生图提示词 | AI图生视频提示词 | 对白 | 旁白 | 音乐 | 音效
11 | 7秒 | 跟拍 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，八百轻骑如洪流冲下山坡，主角一马当先 | 轻骑策马冲锋，马蹄踏碎晨露，主角持剑冲在最前，镜头跟拍冲锋队列 | 随我冲！ | 无 | 激昂战乐 | 马蹄轰鸣声，刀剑出鞘声
12 | 6秒 | 固定 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，谷底厮杀白热化，轻骑与敌军短兵相接 | 士卒拼杀，刀剑碰撞，双方悍不畏死，镜头静止捕捉厮杀画面 | 无 | 无 | 战乐激烈 | 刀剑碰撞声，厮杀呐喊声，利刃入肉声
13 | 5秒 | 快速推近 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，主角厉声下令调整战术，神色沉稳 | 主角抬手指挥，语速急促，神情冷静，镜头快速推近 | 调五百弩手，专射持甲与持槊者，瓦解其核心战力！轻骑分出两队，绕袭敌后，断其取甲之路！ | 无 | 战乐紧绷 | 无
14 | 8秒 | 固定俯拍 | 全景 | 古代写实风格，8K超高清电影级画质，全景俯拍视角，敌军阵形松动，敌将被逼退，胜利天平倾斜 | 敌军节节败退，敌将连连后退，轻骑绕后封堵，镜头俯拍全景 | 无 | 无 | 战乐渐盛 | 厮杀声，中箭声
15 | 6秒 | 快速拉远 | 大远景 | 古代写实风格，8K超高清电影级画质，大远景视角，谷口传来整齐马蹄声，敌军主力回援 | 远处马蹄烟尘扬起，整齐马蹄声逼近，镜头快速拉远展现援军轮廓 | 无 | 无 | 弦乐陡然低沉 | 整齐厚重马蹄声
16 | 5秒 | 固定 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，斥候浑身浴血跪地，急报军情 | 斥候翻滚落地，跪地嘶吼，浑身颤抖，镜头静止 | 将军！急报！敌军主力回援！约有两万，距谷口不足五里！先锋已至隘口！ | 无 | 弦乐惊悚急促 | 斥候喘息声，战马倒地声
17 | 4秒 | 特写 | 特写 | 古代写实风格，8K超高清电影级画质，特写视角，主角握剑指尖泛白，眼神微凝 | 主角手指收紧，剑柄泛白，眼神闪过遗憾，镜头特写 | 无 | 无 | 弦乐低沉遗憾 | 无
18 | 3秒 | 固定 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，主角收剑入鞘，厉声下令鸣金 | 主角收剑，扭头下令，身姿干脆，镜头静止 | 鸣金！ | 无 | 弦乐冷冽 | 无
19 | 5秒 | 固定 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，金鸣声起，全军有序撤退 | 轻骑勒马折返，长枪兵结阵掩护，弩手射最后一波箭，镜头全景 | 无 | 无 | 弦乐平缓 | 凄厉金鸣声，撤军脚步声
20 | 6秒 | 俯拍 | 中景 | 古代写实风格，8K超高清电影级画质，中景俯拍视角，主角立于坡顶，一箭射向敌将肩头旁青石板 | 主角抬手放箭，箭矢破空钉入石板，敌将抬头对望，镜头俯拍 | 无 | 无 | 弦乐肃杀 | 箭矢破空声，箭入石板声
21 | 7秒 | 移拍 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，主角策马离去，背影消失在陉谷出口 | 主角扬鞭策马，转身离去，队列跟随，镜头缓慢移拍背影 | 无 | 无 | 弦乐悠远 | 马蹄远去声
22 | 6秒 | 固定 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，正午城头，主角扶石砖眺望城外连营，风卷烟尘 | 主角扶砖站立，目光远眺，城外黑旗飘动，镜头静止 | 无 | 无 | 低沉压抑弦乐 | 风声，城外鼓角声
23 | 5秒 | 固定 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，近侍跪地劝谏，主角抬手打断 | 近侍躬身急劝，主角抬手制止，神情淡然，镜头静止 | 主公，此城兵寡粮薄，本就难支，您何必亲留此地？不如暂避锋芒…… | 无 | 压抑弦乐 | 无
24 | 8秒 | 缓慢推近 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，主角白日登城巡防，王袍显眼，箭雨擦过垛口 | 主角立在城头，箭雨掠过，士卒搬运滚木修补城墙，镜头缓慢推近 | 伤兵抬后阵，预备队补上。 | 无 | 压抑弦乐 | 箭雨破空声，士卒搬运声，伤兵哀嚎声
25 | 7秒 | 固定 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，夜晚帐内，主角翻看粮草战报，烛火摇曳 | 主角指尖划过卷宗，眉头微锁，烛火跳动，镜头静止 | 无 | 无 | 死寂低沉弦乐 | 烛火噼啪声，帐外风声
26 | 6秒 | 特写 | 特写 | 古代写实风格，8K超高清电影级画质，特写视角，主角眼神闪过疑虑，指尖摩挲案沿 | 主角眼神微动，流露疑虑，手指轻磨案沿，镜头特写 | 无 | 无 | 弦乐微颤 | 无
27 | 5秒 | 快速摇镜 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，深夜敌军破营，冲入内院，火光冲天 | 敌军精锐冲破营门，守兵倒地，火光蔓延，镜头快速摇镜 | 主公！敌军已经冲进内院了！ | 无 | 惊悚急促弦乐 | 兵刃碰撞声，惨叫声，甲胄脚步声
28 | 7秒 | 跟拍 | 中景 | 古代写实风格，8K超高清电影级画质，中景跟拍视角，主角被亲兵护着登上马车，仓皇西逃 | 主角跌撞上车，马车启动，身后火光渐远，镜头跟拍马车 | 快！往西！快！ | 无 | 惊悚弦乐 | 马车车轮声，亲兵呼喊声
29 | 8秒 | 固定俯拍 | 大远景 | 古代写实风格，8K超高清电影级画质，大远景俯拍视角，暮色谷底，三万步骑合围疲惫楚军 | 夜色笼罩谷底，楚军士卒疲惫倚槊，合围铁骑静默，镜头俯拍 | 无 | 无 | 悲壮苍凉弦乐 | 秋风声，甲胄轻擦声
30 | 5秒 | 固定 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，主角按剑立在北坡顶，身侧副将急切询问 | 主角静立凝视谷底，副将侧身催促，镜头静止 | 天色暗了，围了一日，该收网了。 | 无 | 苍凉弦乐 | 无
31 | 4秒 | 固定 | 特写 | 古代写实风格，8K超高清电影级画质，特写视角，主角缓缓摇头，低声开口 | 主角摇头，嘴唇微动，眼神笃定，镜头特写 | 再等等。 | 无 | 弦乐沉静 | 无
32 | 6秒 | 仰拍 | 中景 | 古代写实风格，8K超高清电影级画质，中景仰拍视角，西楚霸王纵马冲出，举槊嘶吼 | 霸王策马冲锋，举槊呐喊，身后楚军跟随，镜头仰拍 | 随我冲！ | 无 | 悲壮战乐 | 霸王嘶吼声，楚军呐喊声
33 | 7秒 | 固定 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，楚军第八次冲锋被打退，士卒疲惫不堪 | 楚军冲锋败退，士卒踉跄倒地，阵脚松动，镜头全景 | 无 | 无 | 战乐渐弱 | 厮杀声，喘息声
34 | 8秒 | 环绕摇镜 | 全景 | 古代写实风格，8K超高清电影级画质，全景环绕视角，四面围阵飘起楚地民谣，楚军士卒落泪 | 楚歌从四面飘出，楚军士卒垂首啜泣，军心瓦解，镜头环绕摇拍 | 无 | 无 | 凄婉楚歌，悲凉弦乐 | 楚地民谣声，士卒啜泣声
35 | 6秒 | 快速俯拍 | 全景 | 古代写实风格，8K超高清电影级画质，全景俯拍视角，主角挥下最后令旗，三万铁骑总攻 | 主角令旗挥下，铁骑涌向谷底，火把照亮战场，镜头俯拍 | 无 | 无 | 苍凉战乐 | 战鼓声，冲锋声
36 | 7秒 | 固定仰拍 | 中景 | 古代写实风格，8K超高清电影级画质，中景仰拍视角，主角收剑入鞘，立于坡顶，神色沉郁 | 主角收剑，身姿挺拔，望向谷底，眼神悲壮，镜头仰拍 | 无 | 属于我的时代，来临了。 | 雄浑收尾弦乐 | 谷底微弱厮杀声，风声
